tiempo_ms,ax,ay,az,etiqueta,muestra_id,grabacion_id
4508,-3192,-5780,9316,CD,0,D2_pwm200_grab1
4514,5196,-32,10628,CD,0,D2_pwm200_grab1
4518,-1928,400,10240,CD,0,D2_pwm200_grab1
4529,4384,-3016,9476,CD,0,D2_pwm200_grab1
4533,2628,2940,11724,CD,0,D2_pwm200_grab1
4539,448,-16,11012,CD,0,D2_pwm200_grab1
4543,-1588,-2948,15340,CD,0,D2_pwm200_grab1
4548,4824,-3680,5960,CD,0,D2_pwm200_grab1
4554,212,-956,10124,CD,0,D2_pwm200_grab1
4559,-9332,-6144,8008,CD,0,D2_pwm200_grab1
4563,3408,-3060,8232,CD,0,D2_pwm200_grab1
4568,-2288,-2004,9096,CD,0,D2_pwm200_grab1
4573,-252,24,7764,CD,0,D2_pwm200_grab1
4578,8528,4724,10812,CD,0,D2_pwm200_grab1
4583,-1836,272,10892,CD,0,D2_pwm200_grab1
4599,1328,964,11672,CD,0,D2_pwm200_grab1
4603,-2572,-2200,10228,CD,0,D2_pwm200_grab1
4609,-1060,-2884,6940,CD,0,D2_pwm200_grab1
4613,8344,1164,11972,CD,0,D2_pwm200_grab1
4618,-5408,3604,14440,CD,0,D2_pwm200_grab1
4623,-5208,-2252,12908,CD,0,D2_pwm200_grab1
4628,4140,-1352,10060,CD,0,D2_pwm200_grab1
4634,1260,2780,10404,CD,0,D2_pwm200_grab1
4638,-3124,-160,9788,CD,0,D2_pwm200_grab1
4644,236,-2220,8648,CD,0,D2_pwm200_grab1
4648,6872,728,12536,CD,0,D2_pwm200_grab1
4653,-100,-1940,6368,CD,0,D2_pwm200_grab1
4659,2984,3644,13200,CD,0,D2_pwm200_grab1
4664,920,128,12280,CD,0,D2_pwm200_grab1
4668,420,252,9304,CD,0,D2_pwm200_grab1
4674,-1876,1584,10440,CD,0,D2_pwm200_grab1
4679,1452,-68,11436,CD,0,D2_pwm200_grab1
4683,-156,-1236,5624,CD,0,D2_pwm200_grab1
4688,320,-3304,6208,CD,0,D2_pwm200_grab1
4694,3760,4228,12096,CD,0,D2_pwm200_grab1
4699,56,-344,11736,CD,0,D2_pwm200_grab1
4704,1992,-96,8524,CD,0,D2_pwm200_grab1
4710,-2076,868,9832,CD,0,D2_pwm200_grab1
4715,2624,260,9232,CD,0,D2_pwm200_grab1
4719,-384,-2212,8412,CD,0,D2_pwm200_grab1
4724,-468,-2296,5172,CD,0,D2_pwm200_grab1
4729,5556,3064,11556,CD,0,D2_pwm200_grab1
4736,-164,-772,11436,CD,0,D2_pwm200_grab1
4740,-8296,-5472,6184,CD,0,D2_pwm200_grab1
4744,1548,-2036,11896,CD,0,D2_pwm200_grab1
4749,-2484,1748,10916,CD,0,D2_pwm200_grab1
4754,-5464,-988,6348,CD,0,D2_pwm200_grab1
4759,-3108,-5664,11580,CD,0,D2_pwm200_grab1
4764,4012,-780,10224,CD,0,D2_pwm200_grab1
4770,-1572,1504,10464,CD,0,D2_pwm200_grab1
4774,-8688,-6052,5556,CD,0,D2_pwm200_grab1
4780,4052,-2656,9652,CD,0,D2_pwm200_grab1
4785,1528,312,12936,CD,0,D2_pwm200_grab1
4789,1220,236,12772,CD,0,D2_pwm200_grab1
4794,1824,-980,12912,CD,0,D2_pwm200_grab1
4799,3920,-2884,5360,CD,0,D2_pwm200_grab1
4805,596,-2264,10140,CD,0,D2_pwm200_grab1
4809,-4560,-2140,6940,CD,0,D2_pwm200_grab1
4814,3176,-2580,8584,CD,0,D2_pwm200_grab1
4820,312,-372,9892,CD,0,D2_pwm200_grab1
4824,2156,192,6528,CD,0,D2_pwm200_grab1
4829,7948,5596,9272,CD,0,D2_pwm200_grab1
4834,-3024,1644,12900,CD,0,D2_pwm200_grab1
4840,3312,-4852,4408,CD,0,D2_pwm200_grab1
4844,1248,40,13528,CD,0,D2_pwm200_grab1
4849,1000,4640,10344,CD,0,D2_pwm200_grab1
4855,-2396,-1720,10424,CD,0,D2_pwm200_grab1
4859,572,-784,7624,CD,0,D2_pwm200_grab1
4865,3032,-2172,11988,CD,0,D2_pwm200_grab1
4869,-4100,2396,11876,CD,0,D2_pwm200_grab1
4875,-3920,-1016,8932,CD,0,D2_pwm200_grab1
4879,-5824,1916,4504,CD,0,D2_pwm200_grab1
4885,-1132,3860,9268,CD,0,D2_pwm200_grab1
4889,-3340,1284,9708,CD,0,D2_pwm200_grab1
4894,588,-1156,8124,CD,0,D2_pwm200_grab1
4899,3400,-2444,13084,CD,0,D2_pwm200_grab1
4904,-1448,508,10496,CD,0,D2_pwm200_grab1
4909,3896,3416,13068,CD,0,D2_pwm200_grab1
4914,-2680,8,11344,CD,0,D2_pwm200_grab1
4920,-2084,-1768,10084,CD,0,D2_pwm200_grab1
4924,132,768,11048,CD,0,D2_pwm200_grab1
4930,352,980,16008,CD,0,D2_pwm200_grab1
4934,-4684,-3288,11580,CD,0,D2_pwm200_grab1
4940,-820,-5852,6736,CD,0,D2_pwm200_grab1
4945,5080,1304,12836,CD,0,D2_pwm200_grab1
4950,-328,1416,11312,CD,0,D2_pwm200_grab1
4955,-5068,-996,9480,CD,0,D2_pwm200_grab1
4960,1056,604,10608,CD,0,D2_pwm200_grab1
4965,-948,1932,17164,CD,0,D2_pwm200_grab1
4970,-2628,-2276,12796,CD,0,D2_pwm200_grab1
4975,-2300,-7256,7384,CD,0,D2_pwm200_grab1
4981,6104,1864,11440,CD,0,D2_pwm200_grab1
4986,-580,844,10880,CD,0,D2_pwm200_grab1
4992,-4396,-1800,8168,CD,0,D2_pwm200_grab1
4996,4556,-2496,11576,CD,0,D2_pwm200_grab1
5000,2800,1780,10332,CD,0,D2_pwm200_grab1
5005,108,-188,12456,CD,0,D2_pwm200_grab1
5010,-1876,-3176,14724,CD,0,D2_pwm200_grab1
5016,5584,-3580,7268,CD,0,D2_pwm200_grab1
5020,2012,432,11008,CD,0,D2_pwm200_grab1
5026,-8304,-3700,10220,CD,0,D2_pwm200_grab1
5030,4032,-3404,8504,CD,0,D2_pwm200_grab1
5035,-3216,-2932,8240,CD,0,D2_pwm200_grab1
5040,-272,820,8016,CD,0,D2_pwm200_grab1
5046,7636,5832,9712,CD,0,D2_pwm200_grab1
5051,1268,-88,7736,CD,0,D2_pwm200_grab1
5060,4368,-1176,15324,CD,0,D2_pwm200_grab1
5065,2800,876,10824,CD,0,D2_pwm200_grab1
5070,-3300,-2232,7036,CD,0,D2_pwm200_grab1
5076,2784,388,8264,CD,0,D2_pwm200_grab1
5080,8632,1012,10628,CD,0,D2_pwm200_grab1
5085,-3624,3644,11368,CD,0,D2_pwm200_grab1
5091,-5884,-4476,10488,CD,0,D2_pwm200_grab1
5096,2064,-1676,5956,CD,0,D2_pwm200_grab1
5101,-264,2692,8864,CD,0,D2_pwm200_grab1
5106,-1904,-680,7880,CD,0,D2_pwm200_grab1
5111,-244,-1408,8620,CD,0,D2_pwm200_grab1
